Name,NGC,Oost Type,Bands,Paper,Link
,NGC 2419,II,VI,"Di Criscienzo, 2011",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/AJ/141/81
,NGC 3201,Conflicted,VI,"Arellano Ferro, 2014","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/other/RMxAA/50.307&-out.max=200&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
,NGC 4147,I,VR,"Arellano Ferro, 2004","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/other/RMxAA/40.209&-out.max=200&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M68,NGC 4590,II,B,"Clement, 1993",http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/ApJ/412/183
M68,NGC 4590,II,VI,"Kains, 2015",http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/A+A/578/A128
M68,NGC 4590,II,BV,"Brocato, 1994","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/107/622&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M53,NGC 5024,II,V,"Arellano Ferro, 2012",http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/MNRAS/420/1333
M53,NGC 5024,II,VI,"Dekany, 2009","http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/507/803&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M53,NGC 5024,II,V,"Arellano Ferro, 2011","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/MNRAS/416/2265&-out.max=200&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
,NGC 5053,II,VRI,"Arellano Ferro, 2010",http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2FMNRAS%2F402%2F226
