Name,NGC,Oost Type,Source,Notes
M3,NGC 5272,I,"Braga, 2016",
M5,NGC 5904,I,"Braga, 2016",
M4,NGC 6121,I,"Braga, 2016",
,NGC 6229,I,"Braga, 2016",
,NGC 6362,I,"Braga, 2016",
M72,NGC 6981,I,"Braga, 2016",
,IC 4499,Oo-Int,"Braga, 2016",
,NGC 3201,Oo-Int,"Braga, 2016",
M54,NGC 6715,Oo-Int,"Braga, 2016",
,NGC 6934,Oo-Int,"Braga, 2016",
,NGC 7006,Oo-Int,"Braga, 2016",
M68,NGC 4590,II,"Braga, 2016",
M53,NGC 5024,II,"Braga, 2016",
,NGC 5286,II,"Braga, 2016",
M15,NGC 7078,II,"Braga, 2016",
,NGC 6388,III,"Braga, 2016",
,NGC 6441,III,"Braga, 2016",
,NGC 6388,III,"Sollima, 2014",
,NGC 6441,III,"Sollima, 2014",
,NGC 6229,I,"Sollima, 2014",
M72,NGC 6981,I,"Sollima, 2014",
,NGC 6584,I,"Sollima, 2014",
M3,NGC 5272,I,"Sollima, 2014",
,NGC 3201,I,"Sollima, 2014",
,NGC 6934,I,"Sollima, 2014",
,IC 4499,I,"Sollima, 2014",
M2,NGC 7089,II,"Sollima, 2014",
M22,NGC 6656,II,"Sollima, 2014",
,NGC 5286,II,"Sollima, 2014",
,NGC 4833,II,"Sollima, 2014",
,NGC 1466,Oo-Int,"Sollima, 2014",
,F2,I,"Sollima, 2014",
,F3,Oo-Int,"Sollima, 2014",
,F4,Oo-Int,"Sollima, 2014",
,NGC 6441,III,"Jang, 2015",
,NGC 6388,III,"Jang, 2015",
,NGC 1466,Oo-Int,"Kuehn, 2013",
,NGC 2210,Oo-Int,"Kuehn, 2013",
M3,NGC 5272,I,"Kuehn, 2013",
M15,NGC 7078,II,"Kuehn, 2013",
M75,NGC 6864,Oo-Int,"Kuehn, 2013",
M75,NGC 6864,Oo-Int,"Corwin, 2003",
,NGC 362,I,"Székely, 2007",
,NGC 2419,II,"Di Criscienzo, 2011",
,NGC 1835,Oo-Int,"Clementini, 2004",
M15,NGC 7078,II,"Clementini, 2004",
M68,NGC 4590,II,"Clementini, 2004",
,IC 4499,I,"Clement, 1991",
M3,NGC 5272,I,"Clement, 1991",
M68,NGC 4590,II,"Clement, 1991",
,NGC 2419,II,"Clement, 1991",
