Name,NGC,Is MW GC?,GC Location,Source,Oost Types,Oost Sources,Oost Type,Total Releases,Mean RRab Period,Mean RRab Period Source,Mean RRc Period,Mean RRc Period Source,Metalicity,Metalicity Source,# RRab,RRab Source,,,,,
M3,NGC 5272,y,Milky Way,"Jang, 2015",1,13,I,6,0.564,"Braga, 2016",0.328,"Braga, 2016",-1.5,"Braga, 2016",152,"Kunder, 2013",,,,,
M5,NGC 5904,y,Milky Way,"Jang, 2015",2,6,Conflicted,4,0.551,"Braga, 2016",0.318,"Braga, 2016",-1.29,"Braga, 2016",80,"Arellano Ferro, 2016",,,,,
M4,NGC 6121,y,Milky Way,"Jang, 2015",2,3,Conflicted,1,0.548,"Braga, 2016",0.293,"Braga, 2016",-1.16,"Braga, 2016",15,"Kunder, 2013",,,,,
M62,NGC 6266,y,Milky Way,"Jang, 2015",1,2,I,1,0.556,"Braga, 2016",0.296,"Braga, 2016",-1.18,"Braga, 2016",133,"Contreras, 2010",,,,,
M53,NGC 5024,y,Milky Way,"Jang, 2015",1,5,II,3,0.661,"Braga, 2016",0.344,"Braga, 2016",-2.1,"Braga, 2016",22,"Kunder, 2013",,,,,
M15,NGC 7078,y,Milky Way,"Jang, 2015",1,12,II,5,0.648,"Braga, 2016",0.369,"Braga, 2016",-2.37,"Braga, 2016",50,"Kunder, 2013",,,NGCs,Unique NGCs,Duplicates
Omega Centauri,NGC 5139,y,Milky Way,"Jang, 2015",1,3,II,6,0.651,"Clement, 2001",0.359,"Braga, 2016",-1.62,"Clement, 2001",84,"Kunder, 2013",,,148,148,0
,NGC 1466,n,LMC,"Soszyński, 2016",1,2,Oo-Int,0,0.591,"Sollima, 2014",,,-2.17,"Sollima, 2014",,,,,,,
M72,NGC 6981,y,Milky Way,"Jang, 2015",1,4,I,0,0.568,"Braga, 2016",0.32,"Braga, 2016",-1.42,"Braga, 2016",20,"Kunder, 2013",,,,,
M68,NGC 4590,y,Milky Way,"Jang, 2015",1,10,II,3,0.634,"Braga, 2016",0.368,"Braga, 2016",-2.23,"Braga, 2016",14,"Kains, 2015",,,,,
,NGC 6362,y,Milky Way,"Jang, 2015",1,5,I,0,0.547,"Braga, 2016",0.294,"Braga, 2016",-0.99,"Braga, 2016",19,"Kunder, 2013",,,,,
,NGC 2210,n,LMC,"Soszyński, 2016",1,1,Oo-Int,0,0.612,"Kuehn, 2013",,,-1.65,"Kuehn, 2013",,,,,,,
,Draco,n,,"Kuehn, 2013",,0,Unknown,0,0.615,"Kuehn, 2013",,,-2.1,"Kuehn, 2013",,,,,,,
,NGC 6229,y,Milky Way,"Jang, 2015",1,6,I,0,0.552,"Braga, 2016",0.336,"Braga, 2016",-1.47,"Braga, 2016",29,"Kunder, 2013",,,,,
,NGC 5286,y,Milky Way,"Jang, 2015",1,4,II,0,0.656,"Braga, 2016",0.333,"Braga, 2016",-1.69,"Braga, 2016",27,"Kunder, 2013",,,,,
,IC 4499,y,Milky Way,"Jang, 2015",2,4,Conflicted,0,0.581,"Braga, 2016",0.342,"Braga, 2016",-1.53,"Braga, 2016",62,"Kunder, 2013",,,,,
,NGC 3201,y,Milky Way,"Jang, 2015",2,5,Conflicted,1,0.555,"Braga, 2016",0.33,"Braga, 2016",-1.59,"Braga, 2016",58,"Kunder, 2013",,,,,
,NGC 6934,y,Milky Way,"Jang, 2015",2,5,Conflicted,0,0.574,"Braga, 2016",0.308,"Braga, 2016",-1.47,"Braga, 2016",51,"Kunder, 2013",,,,,
,NGC 7006,y,Milky Way,"Jang, 2015",2,2,Conflicted,0,0.559,"Braga, 2016",0.333,"Braga, 2016",-1.52,"Braga, 2016",43,"Kunder, 2013",,,,,
